CustomerID,Attrition_Flag,Customer_Age,Age Category,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Number of Products,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Credit Limit Category,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Utilization ratio category
768805383,Existing Customer,45,35-45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691,10000-15000,777,11914,1.335,1144,42,1.625,0.061,Exceptional
818770008,Existing Customer,49,>45,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256,5000-10000,864,7392,1.541,1291,33,3.714,0.105,Exceptional
713982108,Existing Customer,51,>45,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418,<5000,0,3418,2.594,1887,20,2.333,0,Exceptional
769911858,Existing Customer,40,35-45,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313,<5000,2517,796,1.405,1171,20,2.333,0.76,Fair
709106358,Existing Customer,40,35-45,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716,<5000,0,4716,2.175,816,28,2.5,0,Exceptional
713061558,Existing Customer,44,35-45,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010,<5000,1247,2763,1.376,1088,24,0.846,0.311,Very Good
810347208,Existing Customer,51,>45,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516,>30000,2264,32252,1.975,1330,31,0.722,0.066,Exceptional
818906208,Existing Customer,32,25-34,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081,25000-30000,1396,27685,2.204,1538,36,0.714,0.048,Exceptional
710930508,Existing Customer,37,35-45,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352,20000-25000,2517,19835,3.355,1350,24,1.182,0.113,Exceptional
719661558,Existing Customer,48,>45,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656,10000-15000,1677,9979,1.524,1441,32,0.882,0.144,Exceptional
708790833,Existing Customer,42,35-45,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748,5000-10000,1467,5281,0.831,1201,42,0.68,0.217,Very Good
710821833,Existing Customer,65,>45,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095,5000-10000,1587,7508,1.433,1314,26,1.364,0.174,Exceptional
710599683,Existing Customer,56,>45,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751,10000-15000,0,11751,3.397,1539,17,3.25,0,Exceptional
816082233,Existing Customer,35,35-45,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547,5000-10000,1666,6881,1.163,1311,33,2,0.195,Exceptional
712396908,Existing Customer,57,>45,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436,<5000,680,1756,1.19,1570,29,0.611,0.279,Very Good
714885258,Existing Customer,44,35-45,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234,<5000,972,3262,1.707,1348,27,1.7,0.23,Very Good
709967358,Existing Customer,48,>45,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367,>30000,2362,28005,1.708,1671,27,0.929,0.078,Exceptional
753327333,Existing Customer,41,35-45,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535,10000-15000,1291,12244,0.653,1028,21,1.625,0.095,Exceptional
806160108,Existing Customer,61,>45,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193,<5000,2517,676,1.831,1336,30,1.143,0.788,Fair
709327383,Existing Customer,45,35-45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470,10000-15000,1157,13313,0.966,1207,21,0.909,0.08,Exceptional
806165208,Existing Customer,47,>45,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979,20000-25000,1800,19179,0.906,1178,27,0.929,0.086,Exceptional
708508758,Attrited Customer,62,>45,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,<5000,0,1438.3,1.047,692,16,0.6,0,Exceptional
784725333,Existing Customer,41,35-45,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470,<5000,680,3790,1.608,931,18,1.571,0.152,Exceptional
811604133,Existing Customer,47,>45,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492,<5000,1560,932,0.573,1126,23,0.353,0.626,Fair
789124683,Existing Customer,54,>45,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217,10000-15000,0,12217,1.075,1110,21,0.75,0,Exceptional
771071958,Existing Customer,41,35-45,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768,5000-10000,1669,6099,0.797,1051,22,0.833,0.215,Very Good
720466383,Existing Customer,59,>45,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784,10000-15000,1374,13410,0.921,1197,23,1.3,0.093,Exceptional
804424383,Existing Customer,63,>45,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215,10000-15000,1010,9205,0.843,1904,40,1,0.099,Exceptional
718813833,Existing Customer,44,35-45,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100,10000-15000,0,10100,0.525,1052,18,1.571,0,Exceptional
806624208,Existing Customer,47,>45,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785,<5000,1362,3423,0.739,1045,38,0.9,0.285,Very Good
778348233,Existing Customer,53,>45,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753,<5000,1811,942,0.977,1038,25,2.571,0.658,Fair
712991808,Existing Customer,53,>45,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451,<5000,1690,761,1.323,1596,26,1.6,0.69,Fair
709029408,Existing Customer,41,35-45,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923,5000-10000,2517,6406,1.726,1589,24,1.667,0.282,Very Good
788658483,Existing Customer,53,>45,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650,<5000,1490,1160,1.75,1411,28,1,0.562,Good
787937058,Existing Customer,58,>45,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555,10000-15000,1696,10859,0.519,1291,24,0.714,0.135,Exceptional
715318008,Existing Customer,55,>45,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520,<5000,1914,1606,0.51,1407,43,0.483,0.544,Good
713962233,Existing Customer,55,>45,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035,<5000,2298,737,1.724,1877,37,1.176,0.757,Fair
785432733,Existing Customer,42,35-45,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433,15000-20000,0,15433,0.865,966,22,1.2,0,Exceptional
715190283,Existing Customer,57,>45,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672,<5000,886,2786,1.32,1464,28,0.556,0.241,Very Good
708300483,Attrited Customer,66,>45,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882,5000-10000,605,7277,1.052,704,16,0.143,0.077,Exceptional
827111283,Existing Customer,45,35-45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426,>30000,578,31848,1.042,1109,28,0.474,0.018,Exceptional
758551608,Existing Customer,51,>45,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205,5000-10000,2204,4001,0.803,1347,28,0.556,0.355,Very Good
773146383,Existing Customer,50,>45,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304,15000-20000,2517,14787,1.449,1756,33,1.2,0.145,Exceptional
778493808,Existing Customer,49,>45,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906,<5000,0,3906,1.214,1756,32,1,0,Exceptional
